#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1,Clayton Kershaw,477132,2036,2036,7150,*005ih*,LAD,SP,SP,Kershaw,Clayton,Kershaw,Clayton,Clayton Kershaw
2,Carlos Santana,467793,2396,2396,7514,*01cfr*,CHC,1B,1B,Santana,Carlos,Santana,Carlos,Carlos Santana
3,Cory Rasmus,474284,2413,,8492,,TB,P,P,Rasmus,Cory,Rasmus,Cory,Cory Rasmus
4,Tommy Pham,502054,2967,2967,8919,*025fx*,PIT,OF,OF,Pham,Tommy,Pham,Tommy,Tommy Pham
5,Kenley Jansen,445276,3096,3096,7931,*01svz*,LAA,RP,RP,Jansen,Kenley,Jansen,Kenley,Kenley Jansen
6,Max Scherzer,453286,3137,3137,6837,*004ee*,TOR,SP,SP,Scherzer,Max,Scherzer,Max,Max Scherzer
7,Liam Hendriks,521230,3548,3548,8170,*01ub8*,BOS,RP,RP,Hendriks,Liam,Hendriks,Liam,Liam Hendriks
8,Justin Wilson,458677,4301,4301,8007,*025ko*,BOS,RP,RP,Wilson,Justin,Wilson,Justin,Justin Wilson
9,Charlie Morton,450203,4676,4676,6918,*005jn*,DET,SP,SP,Morton,Charlie,Morton,Charlie,Charlie Morton
10,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,OF,OF,Stanton,Giancarlo,Stanton,Giancarlo,Giancarlo Stanton
11,Anthony Gose,543238,5097,5097,7938,*01sha*,ARI,RP,RP,Gose,Anthony,Gose,Anthony,Anthony Gose
12,Justin Turner,457759,5235,5235,7742,*01lum*,CHC,1B/3B,1B/3B,Turner,Justin,Turner,Justin,Justin Turner
13,Sandy Leon,506702,5273,5273,8285,*02jtq*,ATL,C,C,Leon,Sandy,León,Sandy,Sandy León
14,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie,Freddie Freeman
15,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B/OF,2B/OF,Altuve,Jose,Altuve,Jose,Jose Altuve
16,Kyle Higashioka,543309,5517,5517,9470,*01usr*,TEX,C,C,Higashioka,Kyle,Higashioka,Kyle,Kyle Higashioka
17,Ryan Brasier,518489,5615,5615,8481,*021jb*,CHC,RP,RP,Brasier,Ryan,Brasier,Ryan,Ryan Brasier
18,Wilmer Flores,527038,5827,5827,7538,*01cgt*,SF,1B,1B,Flores,Wilmer,Flores,Wilmer,Wilmer Flores
19,Leury Garcia,544725,5913,,8440,,ATL,2B,2B,Garcia,Leury,Garcia,Leury,Leury García
20,Alex Cobb,502171,6562,6562,8058,*01seh*,DET,SP,SP,Cobb,Alex,Cobb,Alex,Alex Cobb
21,Carlos Carrasco,471911,6632,6632,7183,*01as6*,ATL,SP,SP,Carrasco,Carlos,Carrasco,Carlos,Carlos Carrasco
22,Craig Kimbrel,518886,6655,6655,7760,*01scl*,HOU,RP,RP,Kimbrel,Craig,Kimbrel,Craig,Craig Kimbrel
23,Martin Maldonado,455117,6887,6887,8159,*021t6*,SD,C,C,Maldonado,Martin,Maldonado,Martín,Martín Maldonado
24,Martin Perez,527048,6902,6902,7791,*01fhm*,CHW,SP,SP,Perez,Martin,Pérez,Martín,Martín Pérez
25,Luis Garcia,472610,6984,6984,8542,*0321h*,LAA,RP,RP,Garcia,Luis,García,Luis,Luis García
26,Salvador Perez,521692,7304,7304,8134,*01u75*,KC,C/1B,C/1B,Perez,Salvador,Perez,Salvador,Salvador Perez
27,Evan Scribner,519267,7525,,8055,,TB,P,P,Scribner,Evan,Scribner,Evan,Evan Scribner
28,Travis d’Arnaud,518595,7739,7739,8211,*01s99*,LAA,C,C,d’Arnaud,Travis,d’Arnaud,Travis,Travis d’Arnaud
29,Miguel Rojas,500743,7802,7802,8807,*01t5w*,LAD,2B/SS/ 3B,2B/SS/ 3B,Rojas,Miguel,Rojas,Miguel,Miguel Rojas
30,Hunter Strickland,519326,7836,7836,8890,*01ses*,LAA,RP,RP,Strickland,Hunter,Strickland,Hunter,Hunter Strickland
31,Bryan Shaw,543766,8110,8110,8090,*01uay*,SEA,RP,RP,Shaw,Bryan,Shaw,Bryan,Bryan Shaw
32,David Robertson,502085,8241,8241,7384,*005m0*,PHI,RP,RP,Robertson,David,Robertson,David,David Robertson
33,Justin Verlander,434378,8700,8700,5420,*000dp*,SF,SP,SP,Verlander,Justin,Verlander,Justin,Justin Verlander
34,Wade Miley,489119,8779,8779,8137,*01sev*,CIN,SP,SP,Miley,Wade,Miley,Wade,Wade Miley
35,Kirby Yates,489446,9073,9073,8808,*030vs*,LAD,RP,RP,Yates,Kirby,Yates,Kirby,Kirby Yates
36,Nathan Eovaldi,543135,9132,9132,8130,*01ut7*,TEX,SP,SP,Eovaldi,Nathan,Eovaldi,Nathan,Nathan Eovaldi
37,Casey Kelly,543391,9174,9174,8028,,ARI,RP,RP,Kelly,Casey,Kelly,Casey,Casey Kelly
38,Paul Goldschmidt,502671,9218,9218,8126,*01ual*,NYY,1B,1B,Goldschmidt,Paul,Goldschmidt,Paul,Paul Goldschmidt
39,Starling Marte,516782,9241,9241,7736,*01s9k*,NYM,OF,OF,Marte,Starling,Marte,Starling,Starling Marte
40,Patrick Corbin,571578,9323,9323,8272,*01xfr*,TEX,SP,SP,Corbin,Patrick,Corbin,Patrick,Patrick Corbin
41,Dallas Keuchel,572971,9434,9434,8321,*01z83*,KC,SP,SP,Keuchel,Dallas,Keuchel,Dallas,Dallas Keuchel
42,Christian Vazquez,543877,9774,9774,8843,*029us*,MIN,C,C,Vazquez,Christian,Vázquez,Christian,Christian Vázquez
43,Nolan Arenado,571448,9777,9777,8223,*01sy3*,STL,3B,3B,Arenado,Nolan,Arenado,Nolan,Nolan Arenado
44,Andrew McCutchen,457705,9847,9847,6696,*01c1g*,PIT,DH,OF,McCutchen,Andrew,McCutchen,Andrew,Andrew McCutchen
45,Trayce Thompson,572204,9952,9952,9116,*01sb1*,BOS,OF,OF,Thompson,Trayce,Thompson,Trayce,Trayce Thompson
46,Christian Bethancourt,542194,10028,10028,8615,*01sci*,TOR,C,C,Bethancourt,Christian,Bethancourt,Christian,Christian Bethancourt
47,Chris Owings,572008,10030,10030,8611,*01s8o*,LAD,2B,2B,Owings,Chris,Owings,Chris,Chris Owings
48,Tyler Matzek,554431,10058,10058,7675,*01iz0*,STL,RP,RP,Matzek,Tyler,Matzek,Tyler,Tyler Matzek
49,Max Stassi,545358,10059,10059,8582,*01sc7*,SF,C,C,Stassi,Max,Stassi,Max,Max Stassi
50,Mike Trout,545361,10155,10155,7689,*01s8u*,LAA,OF,OF,Trout,Mike,Trout,Mike,Mike Trout
51,Shelby Miller,571946,10197,10197,7683,*01sbv*,MIL,RP,RP,Miller,Shelby,Miller,Shelby,Shelby Miller
52,Tucker Barnhart,571466,10200,10200,8747,*022vw*,TEX,C,C,Barnhart,Tucker,Barnhart,Tucker,Tucker Barnhart
53,Jose Iglesias,578428,10231,10231,7867,*01s98*,SD,2B/SS/ 3B,2B/SS/ 3B,Iglesias,Jose,Iglesias,Jose,Jose Iglesias
54,Aroldis Chapman,547973,10233,10233,7709,*01gya*,BOS,RP,RP,Chapman,Aroldis,Chapman,Aroldis,Aroldis Chapman
55,Randal Grichuk,545341,10243,10243,8773,*01s9c*,KC,OF,OF,Grichuk,Randal,Grichuk,Randal,Randal Grichuk
56,Zack Wheeler,554430,10310,10310,8235,*01sb3*,PHI,SP,SP,Wheeler,Zack,Wheeler,Zack,Zack Wheeler
57,Erasmo Ramirez,541640,10314,10314,8242,*02cch*,MIN,RP,RP,Ramirez,Erasmo,Ramírez,Erasmo,Erasmo Ramírez
58,Michael Tonkin,543859,10315,10315,8541,*02oyz*,MIN,RP,RP,Tonkin,Michael,Tonkin,Michael,Michael Tonkin
59,Marcell Ozuna,542303,10324,10324,8478,*01usi*,ATL,DH,OF,Ozuna,Marcell,Ozuna,Marcell,Marcell Ozuna
60,Enrique Hernandez,571771,10472,10472,8835,*02h98*,LAD,1B/2B/ 3B/OF,1B/2B/ SS/3B/OF,Hernandez,Enrique,Hernández,Enrique,Enrique Hernández
61,Scott Alexander,518397,10591,10591,9149,*02hi5*,SF,RP,RP,Alexander,Scott,Alexander,Scott,Scott Alexander
62,Chris Sale,519242,10603,10603,7887,*01uca*,ATL,SP,SP,Sale,Chris,Sale,Chris,Chris Sale
63,Carlos Perez,542208,10642,10642,9035,,CHC,C,C,Perez,Carlos,Pérez,Carlos,Carlos Pérez
64,Rob Brantly,542963,10655,10655,8369,,NYY,C,C,Brantly,Rob,Brantly,Rob,Rob Brantly
65,Jurickson Profar,595777,10815,10815,8228,*01spl*,ATL,OF,OF,Profar,Jurickson,Profar,Jurickson,Jurickson Profar
66,Michael Mariot,592527,10835,10835,8753,,SEA,RP,RP,Mariot,Michael,Mariot,Michael,Michael Mariot
67,Rangel Ravelo,592660,10839,,9233,,SEA,1B,1B,Ravelo,Rangel,Ravelo,Rangel,Rangel Ravelo
68,Chasen Shreve,592741,10855,10855,17698,*02hkk*,ATL,RP,RP,Shreve,Chasen,Shreve,Chasen,Chasen Shreve
69,Jacob deGrom,594798,10954,10954,8784,*02hjp*,TEX,SP,SP,deGrom,Jacob,deGrom,Jacob,Jacob deGrom
70,Vince Velasquez,592826,11189,11189,9070,*028is*,CLE,RP,RP,Velasquez,Vince,Velasquez,Vince,Vince Velasquez
71,Tyler Lyons,544928,11334,,8493,*02haz*,NYY,P,P,Lyons,Tyler,Lyons,Tyler,Tyler Lyons
72,Tommy Kahnle,592454,11384,11384,8736,*02ccf*,DET,RP,RP,Kahnle,Tommy,Kahnle,Tommy,Tommy Kahnle
73,Jose Quintana,500779,11423,11423,8280,*025kd*,MIL,SP,SP,Quintana,Jose,Quintana,Jose,Jose Quintana
74,Drew Pomeranz,519141,11426,11426,8189,*01ucb*,CHC,RP,RP,Pomeranz,Drew,Pomeranz,Drew,Drew Pomeranz
75,Gary Sanchez,596142,11442,11442,8212,*01t9q*,BAL,C,C,Sanchez,Gary,Sánchez,Gary,Gary Sánchez
76,Dixon Machado,553988,11472,11472,9050,*027h1*,CHC,SS,SS,Machado,Dixon,Machado,Dixon,Dixon Machado
77,Christian Yelich,592885,11477,11477,7903,*025dn*,MIL,OF,OF,Yelich,Christian,Yelich,Christian,Christian Yelich
78,Robbie Ray,592662,11486,11486,8775,*025j1*,SF,SP,SP,Ray,Robbie,Ray,Robbie,Robbie Ray
79,Michael A. Taylor,572191,11489,11489,8866,*02h9j*,CHW,OF,OF,Taylor,Michael A.,Taylor,Michael A.,Michael A. Taylor
80,Manny Machado,592518,11493,11493,7891,*01svq*,SD,3B,3B,Machado,Manny,Machado,Manny,Manny Machado
81,Bryce Harper,547180,11579,11579,7885,*01fh9*,PHI,1B,1B,Harper,Bryce,Harper,Bryce,Bryce Harper
82,Jose Urena,570632,11589,11589,9010,*02j6w*,LAA,SP,SP,Urena,Jose,Ureña,José,José Ureña
83,Yolmer Sanchez,570560,11602,11602,8846,*02i35*,LAA,2B,2B,Sanchez,Yolmer,Sánchez,Yolmer,Yolmer Sánchez
84,Willson Contreras,575929,11609,11609,9263,*03oh0*,STL,C/1B,C/1B,Contreras,Willson,Contreras,Willson,Willson Contreras
85,Brandon Drury,592273,11615,11615,8931,*02hlw*,LAA,2B,2B,Drury,Brandon,Drury,Brandon,Brandon Drury
86,Heath Hembree,592390,11632,11632,8604,,SEA,RP,RP,Hembree,Heath,Hembree,Heath,Heath Hembree
87,Jameson Taillon,592791,11674,11674,7886,*01srb*,CHC,SP,SP,Taillon,Jameson,Taillon,Jameson,Jameson Taillon
88,Elias Diaz,553869,11680,11680,9153,*03fhx*,SD,C,C,Diaz,Elias,Díaz,Elias,Elias Díaz
89,Nick Castellanos,592206,11737,11737,8221,*01uc9*,PHI,OF,OF,Castellanos,Nick,Castellanos,Nick,Nick Castellanos
90,J.T. Realmuto,592663,11739,11739,8800,*025i9*,PHI,C,C,Realmuto,J.T.,Realmuto,J.T.,J.T. Realmuto
91,Luke Jackson,592426,11752,11752,8716,*025ey*,SEA,RP,RP,Jackson,Luke,Jackson,Luke,Luke Jackson
92,Taijuan Walker,592836,11836,11836,8418,*025dq*,PHI,SP,SP,Walker,Taijuan,Walker,Taijuan,Taijuan Walker
93,Joc Pederson,592626,11899,11899,8688,*026qc*,TEX,DH,OF,Pederson,Joc,Pederson,Joc,Joc Pederson
94,Hanser Alberto,593643,11902,11902,9052,,CHW,2B,2B,Alberto,Hanser,,,
95,Kyle Hendricks,543294,12049,12049,8841,*02bwg*,LAA,SP,SP,Hendricks,Kyle,Hendricks,Kyle,Kyle Hendricks
96,Scott McGough,543518,12056,12056,9130,*02btq*,ATH,RP,RP,McGough,Scott,McGough,Scott,Scott McGough
97,Yimi Garcia,554340,12095,12095,8895,*02z0e*,TOR,RP,RP,Garcia,Yimi,García,Yimi,Yimi García
98,Max Kepler,596146,12144,12144,9172,*01vja*,PHI,OF,OF,Kepler,Max,Kepler,Max,Max Kepler
99,Ben Gamel,592325,12160,12160,9197,*02hka*,LAA,OF,OF,Gamel,Ben,Gamel,Ben,Ben Gamel
100,Xander Bogaerts,593428,12161,12161,8417,*025gb*,SD,2B/SS,2B/SS,Bogaerts,Xander,Bogaerts,Xander,Xander Bogaerts
101,Jorge Alfaro,595751,12180,12180,8715,,WSH,OF,OF,Alfaro,Jorge,Alfaro,Jorge,Jorge Alfaro
102,Aaron Brooks,605156,12272,12272,8752,*02bwv*,ATH,SP,SP,Brooks,Aaron,Brooks,Aaron,Aaron Brooks
103,Chris Bassitt,605135,12304,12304,8879,*02c2h*,TOR,SP,SP,Bassitt,Chris,Bassitt,Chris,Chris Bassitt
104,Colin Rea,607067,12317,12317,9124,*02bzn*,CHC,SP,SP,Rea,Colin,Rea,Colin,Colin Rea
105,Jacob Barnes,606930,12323,12323,9277,*02c14*,TOR,RP,RP,Barnes,Jacob,Barnes,Jacob,Jacob Barnes
106,Seth Lugo,607625,12447,12447,9312,*03sef*,KC,SP,SP,Lugo,Seth,Lugo,Seth,Seth Lugo
107,Marcus Semien,543760,12533,12533,8602,*02bu9*,TEX,2B,2B,Semien,Marcus,Semien,Marcus,Marcus Semien
108,Eugenio Suarez,553993,12552,12552,8805,*02jh6*,SEA,3B,3B,Suarez,Eugenio,Suárez,Eugenio,Eugenio Suárez
109,Trevor Story,596115,12564,12564,8658,*02bqh*,BOS,SS,SS,Story,Trevor,Story,Trevor,Trevor Story
110,Blake Treinen,595014,12572,12572,8756,*02bve*,LAD,RP,RP,Treinen,Blake,Treinen,Blake,Blake Treinen
111,Adrian Houser,605288,12718,12718,9175,*02brc*,TB,SP,SP,Houser,Adrian,Houser,Adrian,Adrian Houser
112,Nick Martinez,607259,12730,12730,8748,*02c4q*,CIN,SP,SP,Martinez,Nick,Martinez,Nick,Nick Martinez
113,Rafael Montero,606160,12760,12760,8682,*02jhl*,DET,RP,RP,Montero,Rafael,Montero,Rafael,Rafael Montero
114,Chris Devenski,606965,12763,12763,9342,*02i31*,NYM,RP,RP,Devenski,Chris,Devenski,Chris,Chris Devenski
115,Sonny Gray,543243,12768,12768,8546,*0260v*,STL,SP,SP,Gray,Sonny,Gray,Sonny,Sonny Gray
116,Mike Clevinger,605182,12808,12808,9210,*02bsw*,CHW,RP,RP,Clevinger,Mike,Clevinger,Mike,Mike Clevinger
117,Andrew Kittredge,552640,12828,12828,9706,*04ggi*,CHC,RP,RP,Kittredge,Andrew,Kittredge,Andrew,Andrew Kittredge
118,George Springer,543807,12856,12856,8433,*025he*,TOR,OF,OF,Springer,George,Springer,George,George Springer
119,Shawn Armstrong,542888,12857,12857,9123,*02c47*,TEX,RP,RP,Armstrong,Shawn,Armstrong,Shawn,Shawn Armstrong
120,James McCann,543510,12859,12859,8897,*02bra*,ARI,C,C,McCann,James,McCann,James,James McCann
121,Anthony Rendon,543685,12861,12861,8225,*01tt9*,LAA,3B,3B,Rendon,Anthony,Rendon,Anthony,Anthony Rendon
122,Andrew McKirahan,605374,12870,,8990,,MIA,P,P,McKirahan,Andrew,McKirahan,Andrew,Andrew McKirahan
123,Tyler Anderson,542881,12880,12880,9107,*026mq*,LAA,SP,SP,Anderson,Tyler,Anderson,Tyler,Tyler Anderson
124,Francisco Lindor,596019,12916,12916,8226,*02611*,NYM,SS,SS,Lindor,Francisco,Lindor,Francisco,Francisco Lindor
125,Brandon Nimmo,607043,12927,12927,8955,*02bq2*,NYM,OF,OF,Nimmo,Brandon,Nimmo,Brandon,Brandon Nimmo
126,Joe Musgrove,605397,12970,12970,9248,*02bqy*,SD,SP,SP,Musgrove,Joe,Musgrove,Joe,Joe Musgrove
127,Austin Hedges,595978,12976,12976,8431,*02brk*,CLE,C,C,Hedges,Austin,Hedges,Austin,Austin Hedges
128,Javier Baez,595879,12979,12979,8643,*026mn*,DET,SS/3B/ OF,SS/3B/ OF,Baez,Javier,Báez,Javier,Javier Báez
129,Andrew Chafin,605177,12988,12988,8863,*02bqd*,LAA,RP,RP,Chafin,Andrew,Chafin,Andrew,Andrew Chafin
130,Anthony DeSclafani,543101,13050,13050,8786,*02but*,ARI,SP,SP,DeSclafani,Anthony,DeSclafani,Anthony,Anthony DeSclafani
131,Teoscar Hernandez,606192,13066,13066,9428,*02xic*,LAD,OF,OF,Hernandez,Teoscar,Hernández,Teoscar,Teoscar Hernández
132,Yu Darvish,506433,13074,13074,8210,*01c5l*,SD,SP,SP,Darvish,Yu,Darvish,Yu,Yu Darvish
133,Gerrit Cole,543037,13125,13125,8231,*01spo*,NYY,SP,SP,Cole,Gerrit,Cole,Gerrit,Gerrit Cole
134,Derek Law,571882,13133,13133,9289,*02bx6*,WSH,RP,RP,Law,Derek,Law,Derek,Derek Law
135,Josh Bell,605137,13145,13145,8962,*026lz*,WSH,1B,1B,Bell,Josh,Bell,Josh,Josh Bell
136,Jorge Polanco,593871,13152,13152,8832,*02yd1*,SEA,2B,2B/3B,Polanco,Jorge,Polanco,Jorge,Jorge Polanco
137,Eduardo Rodriguez,593958,13164,13164,8632,*029si*,ARI,SP,SP,Rodriguez,Eduardo,Rodriguez,Eduardo,Eduardo Rodriguez
138,Orlando Arcia,606115,13185,13185,8950,*02i1q*,COL,SS,SS,Arcia,Orlando,Arcia,Orlando,Orlando Arcia
139,Michael Fulmer,605242,13218,13218,9217,*02bqj*,SEA,RP,RP,Fulmer,Michael,Fulmer,Michael,Michael Fulmer
140,Jesse Hahn,534910,13287,13287,8803,*020dj*,SEA,RP,RP,Hahn,Jesse,Hahn,Jesse,Jesse Hahn
141,Danny Coulombe,543056,13293,13293,8921,*02hxd*,TEX,RP,RP,Coulombe,Danny,Coulombe,Danny,Danny Coulombe
142,Max Muncy,571970,13301,13301,8691,*02mzg*,LAD,3B,3B,Muncy,Max,Muncy,Max,Max Muncy
143,Ildemaro Vargas,545121,13324,13324,9562,*0433b*,ARI,2B,2B,Vargas,Ildemaro,Vargas,Ildemaro,Ildemaro Vargas
144,Omar Narvaez,553882,13338,13338,9400,*043f8*,TEX,C,C,Narvaez,Omar,Narváez,Omar,Omar Narváez
145,Adrian Sampson,592716,13339,13339,9382,*02c2m*,WSH,SP,SP,Sampson,Adrian,Sampson,Adrian,Adrian Sampson
146,Luke Maile,571912,13355,13355,9143,*02n1q*,KC,C,C,Maile,Luke,Maile,Luke,Luke Maile
147,Tyler Naquin,571980,13359,13359,9207,,CLE,OF,OF,Naquin,Tyler,Naquin,Tyler,Tyler Naquin
148,Steven Matz,571927,13361,13361,8689,*02h8d*,BOS,SP,SP,Matz,Steven,Matz,Steven,Steven Matz
149,Christian Walker,572233,13419,13419,8924,*02mw3*,HOU,1B,1B,Walker,Christian,Walker,Christian,Christian Walker
150,Pierce Johnson,572955,13435,13435,8645,*02hdy*,ATL,RP,RP,Johnson,Pierce,Johnson,Pierce,Pierce Johnson
151,Taylor Rogers,573124,13449,13449,9225,*02n3l*,CHC,RP,RP,Rogers,Taylor,Rogers,Taylor,Taylor Rogers
152,Lucas Sims,608371,13470,13470,8630,*02mw7*,PHI,RP,RP,Sims,Lucas,Sims,Lucas,Lucas Sims
153,Tom Murphy,608596,13499,13499,8657,*02t8m*,SF,C,C,Murphy,Tom,Murphy,Tom,Tom Murphy
154,Jose Ramirez,608070,13510,13510,8594,*01ub6*,CLE,3B,3B,Ramirez,Jose,Ramírez,José,José Ramírez
155,Matt Bowman,621199,13528,13528,9273,*02n53*,HOU,RP,RP,Bowman,Matt,Bowman,Matt,Matt Bowman
156,Blake Snell,605483,13543,13543,9328,*02bqr*,LAD,SP,SP,Snell,Blake,Snell,Blake,Blake Snell
157,Steven Okert,595345,13580,13580,9290,*02myt*,HOU,RP,RP,Okert,Steven,Okert,Steven,Steven Okert
158,Jesse Winker,608385,13590,13590,8647,*02mwg*,NYM,OF,OF,Winker,Jesse,Winker,Jesse,Jesse Winker
159,Robert Stephenson,596112,13594,13594,8650,*02bq7*,LAA,RP,RP,Stephenson,Robert,Stephenson,Robert,Robert Stephenson
160,Carl Edwards Jr.,605218,13607,13607,9329,*02of2*,TEX,RP,RP,Edwards Jr.,Carl,Edwards Jr.,Carl,Carl Edwards Jr.
161,Mookie Betts,605141,13611,13611,8638,*02btf*,LAD,SS/OF,2B/SS/ OF,Betts,Mookie,Betts,Mookie,Mookie Betts
162,Ketel Marte,606466,13613,13613,9112,*0326s*,ARI,2B,2B,Marte,Ketel,Marte,Ketel,Ketel Marte
163,Carson Kelly,608348,13620,13620,9452,*02mxf*,CHC,C,C,Kelly,Carson,Kelly,Carson,Carson Kelly
164,Jeimer Candelario,600869,13621,13621,9264,*027fx*,NYY,1B/3B,1B/3B,Candelario,Jeimer,Candelario,Jeimer,Jeimer Candelario
165,Corey Seager,608369,13624,13624,8668,*02mw6*,TEX,SS,SS,Seager,Corey,Seager,Corey,Corey Seager
166,Jacob Stallings,607732,13723,13723,9384,*02j7h*,BAL,C,C,Stallings,Jacob,Stallings,Jacob,Jacob Stallings
167,Chris Taylor,621035,13757,13757,8852,*02u47*,LAA,2B/3B/ OF,2B/3B/ OF,Taylor,Chris,Taylor,Chris,Chris Taylor
168,Travis Jankowski,608671,13768,13768,9125,*02j2v*,NYM,OF,OF,Jankowski,Travis,Jankowski,Travis,Travis Jankowski
169,Rob Refsnyder,608701,13770,13770,8929,*02mzf*,BOS,OF,OF,Refsnyder,Rob,Refsnyder,Rob,Rob Refsnyder
170,Zach Eflin,621107,13774,13774,9379,*02mwq*,BAL,SP,SP,Eflin,Zach,Eflin,Zach,Zach Eflin
171,Matt Strahm,621381,13799,13799,9205,*02nax*,PHI,RP,RP,Strahm,Matt,Strahm,Matt,Matt Strahm
172,Paul Sewald,623149,13892,13892,9642,*02n2x*,DET,RP,RP,Sewald,Paul,Sewald,Paul,Paul Sewald
173,Tyler Heineman,623168,13897,13897,10691,*02n1c*,TOR,C,C,Heineman,Tyler,Heineman,Tyler,Tyler Heineman
174,Brent Suter,608718,13942,13942,9436,*03cav*,CIN,RP,RP,Suter,Brent,Suter,Brent,Brent Suter
175,Michael Wacha,608379,14078,14078,8426,*02iug*,KC,SP,SP,Wacha,Michael,Wacha,Michael,Michael Wacha
176,Kevin Gausman,592332,14107,14107,8427,*02hi7*,TOR,SP,SP,Gausman,Kevin,Gausman,Kevin,Kevin Gausman
177,Albert Almora Jr.,546991,14109,14109,8639,,ARI,OF,OF,Almora Jr.,Albert,Almora Jr.,Albert,Albert Almora Jr.
178,Lance McCullers Jr.,621121,14120,14120,8659,*026l1*,HOU,SP,SP,McCullers Jr.,Lance,McCullers Jr.,Lance,Lance McCullers Jr.
179,Byron Buxton,621439,14161,14161,8674,*02i2k*,MIN,OF,OF,Buxton,Byron,Buxton,Byron,Byron Buxton
180,Carlos Correa,621043,14162,14162,8656,*02i2q*,HOU,SS/3B,SS/3B,Correa,Carlos,Correa,Carlos,Carlos Correa
181,Jose Berrios,621244,14168,14168,8951,*02mwk*,TOR,SP,SP,Berrios,Jose,Berríos,José,José Berríos
182,Josh Hader,623352,14212,14212,9492,*02n96*,HOU,RP,RP,Hader,Josh,Hader,Josh,Josh Hader
183,Jorge Soler,624585,14221,14221,8331,*02i11*,LAA,OF,OF,Soler,Jorge,Soler,Jorge,Jorge Soler
184,Ray Black,605143,14244,,9286,*02bvi*,MIL,P,P,Black,Ray,Black,Ray,Ray Black
185,Wandy Peralta,593974,14295,14295,9448,*047sh*,SD,RP,RP,Peralta,Wandy,Peralta,Wandy,Wandy Peralta
186,Frankie Montas,593423,14309,14309,9103,*02yg3*,NYM,SP,SP,Montas,Frankie,Montas,Frankie,Frankie Montas Jr.
187,Matt Olson,621566,14344,14344,8690,*02mwm*,ATL,1B,1B,Olson,Matt,Olson,Matt,Matt Olson
188,Raimel Tapia,606132,14350,14350,8943,,TB,OF,OF,Tapia,Raimel,,,
189,Ty Blach,621389,14361,14361,9285,*02mzi*,TEX,SP,SP,Blach,Ty,Blach,Ty,Ty Blach
190,Tyler Glasnow,607192,14374,14374,8700,*02btx*,LAD,SP,SP,Glasnow,Tyler,Glasnow,Tyler,Tyler Glasnow
191,Amir Garrett,607237,14375,14375,9253,*02i3x*,TOR,RP,RP,Garrett,Amir,Garrett,Amir,Amir Garrett
192,Harold Ramirez,623912,14387,14387,9260,*02i3m*,WSH,OF,OF,Ramirez,Harold,,,
193,Joe Hudson,621529,14412,14412,10105,,HOU,C,C,Hudson,Joe,Hudson,Joe,Joe Hudson
194,Jose Leclerc,600917,14524,14524,9239,*030×2*,ATH,RP,RP,Leclerc,Jose,Leclerc,José,José Leclerc
195,Carlos Estevez,608032,14542,14542,9294,*03mnq*,KC,RP,RP,Estevez,Carlos,Estévez,Carlos,Carlos Estévez
196,Edwin Diaz,621242,14710,14710,9376,*02my5*,NYM,RP,RP,Diaz,Edwin,Díaz,Edwin,Edwin Díaz
197,Paul Blackburn,621112,14739,14739,9578,*02mwd*,NYY,SP,SP,Blackburn,Paul,Blackburn,Paul,Paul Blackburn
198,Kyle Farmer,571657,14813,14813,9537,*0312h*,COL,1B/2B/ SS/3B,1B/2B/ SS/3B,Farmer,Kyle,Farmer,Kyle,Kyle Farmer
199,Buck Farmer,571656,14814,14814,8867,*02n6j*,CIN,RP,RP,Farmer,Buck,Farmer,Buck,Buck Farmer
200,Michael Lorenzen,547179,14843,14843,9028,*02hir*,KC,SP,SP,Lorenzen,Michael,Lorenzen,Michael,Michael Lorenzen
201,Joe Mantiply,573009,14857,14857,9450,*03mle*,TOR,RP,RP,Mantiply,Joe,Mantiply,Joe,Joe Mantiply
202,Sam Moll,594580,14874,14874,9498,*0311r*,CIN,RP,RP,Moll,Sam,Moll,Sam,Sam Moll
203,Jon Gray,592351,14916,14916,8653,*02bxv*,TEX,SP,SP,Gray,Jon,Gray,Jon,Jon Gray
204,Chad Kuhl,641771,14975,14975,9390,,ATL,RP,RP,Kuhl,Chad,Kuhl,Chad,Chad Kuhl
205,German Marquez,608566,15038,15038,9295,*03amq*,COL,SP,SP,Marquez,German,Márquez,Germán,Germán Márquez
206,Trevor Gott,641627,15046,15046,9074,*0316r*,SEA,RP,RP,Gott,Trevor,Gott,Trevor,Trevor Gott
207,Dom Nunez,624513,15055,15055,10673,*03125*,CLE,C,C,Nunez,Dom,Nuñez,Dom,Dom Nuñez
208,Rob Zastryzny,642239,15094,15094,9435,*0310m*,MIL,RP,RP,Zastryzny,Rob,Zastryzny,Rob,Rob Zastryzny
209,Ben Heller,621294,15100,15100,9426,*031gh*,CHC,RP,RP,Heller,Ben,Heller,Ben,Ben Heller
210,Ryan McMahon,641857,15112,15112,9726,*0310n*,NYY,3B,3B,McMahon,Ryan,McMahon,Ryan,Ryan McMahon
