#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1540,Drake Baldwin,686948,686948,31539,12203,*0630d*,ATL,C,C,Baldwin,Drake,Baldwin,Drake,Drake Baldwin
1541,Cole Waites,686972,686972,25665,11571,*051dv*,SF,RP,RP,Waites,Cole,Waites,Cole,Cole Waites
1542,Louis Varland,686973,686973,27691,11424,*051bm*,TOR,RP,RP,Varland,Louis,Varland,Louis,Louis Varland
1543,Justin Sterner,686993,686993,27694,12097,*066n1*,ATH,RP,RP,Sterner,Justin,Sterner,Justin,Justin Sterner
1544,Brandon Young,687064,687064,27819,12223,*05r3a*,BAL,SP,SP,Young,Brandon,Young,Brandon,Brandon Young
1545,Eric Yang,687066,687066,27698,12134,*0515n*,CIN,C,C,Yang,Eric,Yang,Eric,Eric Yang
1546,Brandon Sproat,687075,687075,sa3023499,12198,*0515o*,NYM,SP,SP,Sproat,Brandon,Sproat,Brandon,Brandon Sproat
1547,Vaughn Grissom,687093,687093,26031,11531,*0518n*,BOS,SS,SS,Grissom,Vaughn,Grissom,Vaughn,Vaughn Grissom
1548,Bradley Blalock,687134,687134,26419,11966,*0579z*,COL,SP,SP,Blalock,Bradley,Blalock,Bradley,Bradley Blalock
1549,Evan Justice,687145,687145,30008,11845,*05yae*,COL,RP,RP,Justice,Evan,Justice,Evan,Evan Justice
1550,Zach Maxwell,687209,687209,31610,12206,*0648f*,CIN,RP,RP,Maxwell,Zach,Maxwell,Zach,
1551,Dalton Rushing,687221,687221,31382,12190,*05xtz*,LAD,C,C/OF,Rushing,Dalton,Rushing,Dalton,Dalton Rushing
1552,Darell Hernaiz,687231,687231,26224,11920,*05145*,ATH,SS/3B,SS/3B,Hernaiz,Darell,Hernaiz,Darell,Darell Hernaiz
1553,Zach Neto,687263,687263,31347,11741,*05xu5*,LAA,SS,SS,Neto,Zach,Neto,Zach,Zach Neto
1554,K.C. Hunt,687268,687268,sa3022937,12218,,MIL,SP,SP,Hunt,K.C.,Hunt,K.C.,
1555,Quinn Mathews,687273,687273,sa3023407,12192,*060gd*,STL,SP,SP,Mathews,Quinn,Mathews,Quinn,
1556,Gabriel Rincones Jr.,687282,687282,sa3020758,12358,*0630f*,PHI,OF,OF,Rincones Jr.,Gabriel,Rincones Jr.,Gabriel,
1557,Kevin Kelly,687330,687330,25679,11729,*051eh*,TB,RP,RP,Kelly,Kevin,Kelly,Kevin,Kevin Kelly
1558,Connor Gillispie,687362,687362,26171,12142,*0516q*,MIN,SP,SP,Gillispie,Connor,Gillispie,Connor,Connor Gillispie
1559,Victor Scott II,687363,687363,31349,11947,*0648z*,STL,OF,OF,Scott II,Victor,Scott II,Victor,Victor Scott II
1560,Orlando Ribalta,687377,687377,26247,12153,*0519c*,WSH,RP,RP,Ribalta,Orlando,Ribalta,Orlando,Orlando Ribalta
1561,Chad Bell,687382,687382,sa3010888,9467,*051ez*,NYY,3B,3B,Bell,Chad,Bell,Chad,
1562,Brent Headrick,687396,687396,27702,11689,*0516x*,NYY,RP,RP,Headrick,Brent,Headrick,Brent,Brent Headrick
1563,Joey Ortiz,687401,687401,25493,11625,*0513c*,MIL,SS/3B,SS/3B,Ortiz,Joey,Ortiz,Joey,Joey Ortiz
1564,Anthony Maldonado,687424,687424,26034,11997,*0518d*,ATH,RP,RP,Maldonado,Anthony,Maldonado,Anthony,Anthony Maldonado
1565,Hudson Head,687431,687431,sa3010889,11047,*0512p*,PIT,OF,OF,Head,Hudson,Head,Hudson,
1566,Spencer Horwitz,687462,687462,26477,11434,*051ia*,PIT,1B/2B,1B/2B,Horwitz,Spencer,Horwitz,Spencer,Spencer Horwitz
1567,Ryan Gusto,687473,687473,26440,12187,*0518s*,MIA,SP,SP,Gusto,Ryan,Gusto,Ryan,Ryan Gusto
1568,Colby Thomas,687515,687515,31855,12199,*0630e*,ATH,OF,OF,Thomas,Colby,Thomas,Colby,Colby Thomas
1569,Grant McCray,687529,687529,25690,12154,*0512r*,SF,OF,OF,McCray,Grant,McCray,Grant,Grant McCray
1570,Drew Gilbert,687551,687551,31545,11955,*05xu0*,SF,OF,OF,Gilbert,Drew,Gilbert,Drew,Drew Gilbert
1571,Dom Hamel,687589,687589,sa3017949,12015,*05udy*,NYM,SP,SP,Hamel,Dom,Hamel,Dom,
1572,Jordan Beck,687597,687597,31431,12084,*051b4*,COL,OF,OF,Beck,Jordan,Beck,Jordan,Jordan Beck
1573,Paxton Schultz,687606,687606,25501,12383,,TOR,RP,RP,Schultz,Paxton,Schultz,Paxton,Paxton Schultz
1574,Dylan Beavers,687637,687637,31695,12226,*05xty*,BAL,OF,OF,Beavers,Dylan,Beavers,Dylan,Dylan Beavers
1575,Kaden Polcovich,687659,687659,sa3014496,10868,*05lnl*,SEA,2B,2B,Polcovich,Kaden,Polcovich,Kaden,
1576,Jackson Cluff,687714,687714,sa3010342,11124,*05150*,WSH,SS,SS,Cluff,Jackson,Cluff,Jackson,
1577,Mitch Spence,687765,687765,27707,12002,*0517z*,ATH,SP,SP,Spence,Mitch,Spence,Mitch,Mitch Spence
1578,DJ Herz,687792,687792,26389,11969,*0516h*,WSH,SP,SP,Herz,DJ,Herz,DJ,DJ Herz
1579,Nick Robertson,687798,687798,26226,11805,*0515s*,KC,RP,RP,Robertson,Nick,Robertson,Nick,Nick Robertson
